,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
164,Degree,sponges_networks,Degree networks,,,Intersection 0.3,19,3.0,10.0
165,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
166,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
167,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
168,Random,sponges_networks,Random networks,,,Difference,841,,10.0
169,Random,sponges_networks,Random networks,,,Intersection 0.2,125,2.0,10.0
170,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
171,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
172,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
173,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
174,Degree,sponges_networks,Degree networks,,,Difference,832,,10.0
175,Degree,sponges_networks,Degree networks,,,Intersection 0.2,127,2.0,10.0
176,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
177,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
178,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
179,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
180,Random,sponges_networks,Random networks,,,Difference,850,,10.0
181,Random,sponges_networks,Random networks,,,Intersection 0.2,119,2.0,10.0
182,Random,sponges_networks,Random networks,,,Intersection 0.3,11,3.0,10.0
183,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
184,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
185,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
186,Degree,sponges_networks,Degree networks,,,Difference,819,,10.0
187,Degree,sponges_networks,Degree networks,,,Intersection 0.2,130,2.0,10.0
188,Degree,sponges_networks,Degree networks,,,Intersection 0.3,22,3.0,10.0
189,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
190,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
191,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
192,Random,sponges_networks,Random networks,,,Difference,864,,10.0
193,Random,sponges_networks,Random networks,,,Intersection 0.2,115,2.0,10.0
194,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
195,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
196,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
197,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
198,Degree,sponges_networks,Degree networks,,,Difference,804,,10.0
199,Degree,sponges_networks,Degree networks,,,Intersection 0.2,139,2.0,10.0
200,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
201,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
202,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
203,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
204,Random,sponges_networks,Random networks,,,Difference,848,,10.0
205,Random,sponges_networks,Random networks,,,Intersection 0.2,121,2.0,10.0
206,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
207,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
208,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
209,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
210,Degree,sponges_networks,Degree networks,,,Difference,826,,10.0
211,Degree,sponges_networks,Degree networks,,,Intersection 0.2,130,2.0,10.0
212,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
213,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
214,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
215,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
216,Random,sponges_networks,Random networks,,,Difference,853,,10.0
217,Random,sponges_networks,Random networks,,,Intersection 0.2,117,2.0,10.0
218,Random,sponges_networks,Random networks,,,Intersection 0.3,13,3.0,10.0
219,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
220,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
221,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
222,Degree,sponges_networks,Degree networks,,,Difference,822,,10.0
223,Degree,sponges_networks,Degree networks,,,Intersection 0.2,130,2.0,10.0
224,Degree,sponges_networks,Degree networks,,,Intersection 0.3,17,3.0,10.0
225,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
226,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
227,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
228,Random,sponges_networks,Random networks,,,Difference,898,,10.0
229,Random,sponges_networks,Random networks,,,Intersection 0.2,99,2.0,10.0
230,Random,sponges_networks,Random networks,,,Intersection 0.3,5,3.0,10.0
231,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
232,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
233,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
234,Degree,sponges_networks,Degree networks,,,Difference,812,,10.0
235,Degree,sponges_networks,Degree networks,,,Intersection 0.2,136,2.0,10.0
236,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
237,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
238,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
239,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
240,Random,sponges_networks,Random networks,,,Difference,860,,10.0
241,Random,sponges_networks,Random networks,,,Intersection 0.2,115,2.0,10.0
242,Random,sponges_networks,Random networks,,,Intersection 0.3,11,3.0,10.0
243,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
244,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
245,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
246,Degree,sponges_networks,Degree networks,,,Difference,834,,10.0
247,Degree,sponges_networks,Degree networks,,,Intersection 0.2,122,2.0,10.0
248,Degree,sponges_networks,Degree networks,,,Intersection 0.3,22,3.0,10.0
249,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
250,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
251,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
252,Random,sponges_networks,Random networks,,,Difference,837,,10.0
253,Random,sponges_networks,Random networks,,,Intersection 0.2,122,2.0,10.0
254,Random,sponges_networks,Random networks,,,Intersection 0.3,18,3.0,10.0
255,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
256,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
257,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
258,Degree,sponges_networks,Degree networks,,,Difference,861,,10.0
259,Degree,sponges_networks,Degree networks,,,Intersection 0.2,115,2.0,10.0
260,Degree,sponges_networks,Degree networks,,,Intersection 0.3,9,3.0,10.0
261,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
262,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
263,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
264,Random,sponges_networks,Random networks,,,Difference,864,,10.0
265,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
266,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
267,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
268,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
269,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
270,Degree,sponges_networks,Degree networks,,,Difference,807,,10.0
271,Degree,sponges_networks,Degree networks,,,Intersection 0.2,136,2.0,10.0
272,Degree,sponges_networks,Degree networks,,,Intersection 0.3,21,3.0,10.0
273,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
274,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
275,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
276,Random,sponges_networks,Random networks,,,Difference,867,,10.0
277,Random,sponges_networks,Random networks,,,Intersection 0.2,112,2.0,10.0
278,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
279,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
280,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
281,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
282,Degree,sponges_networks,Degree networks,,,Difference,814,,10.0
283,Degree,sponges_networks,Degree networks,,,Intersection 0.2,136,2.0,10.0
284,Degree,sponges_networks,Degree networks,,,Intersection 0.3,13,3.0,10.0
285,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
286,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
287,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
288,Random,sponges_networks,Random networks,,,Difference,847,,10.0
289,Random,sponges_networks,Random networks,,,Intersection 0.2,122,2.0,10.0
290,Random,sponges_networks,Random networks,,,Intersection 0.3,8,3.0,10.0
291,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
292,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
293,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
294,Degree,sponges_networks,Degree networks,,,Difference,821,,10.0
295,Degree,sponges_networks,Degree networks,,,Intersection 0.2,132,2.0,10.0
296,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
297,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
298,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
299,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
300,Random,sponges_networks,Random networks,,,Difference,824,,10.0
301,Random,sponges_networks,Random networks,,,Intersection 0.2,132,2.0,10.0
302,Random,sponges_networks,Random networks,,,Intersection 0.3,12,3.0,10.0
303,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
304,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
305,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
306,Degree,sponges_networks,Degree networks,,,Difference,847,,10.0
307,Degree,sponges_networks,Degree networks,,,Intersection 0.2,122,2.0,10.0
308,Degree,sponges_networks,Degree networks,,,Intersection 0.3,10,3.0,10.0
309,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
310,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
311,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
312,Random,sponges_networks,Random networks,,,Difference,849,,10.0
313,Random,sponges_networks,Random networks,,,Intersection 0.2,119,2.0,10.0
314,Random,sponges_networks,Random networks,,,Intersection 0.3,13,3.0,10.0
315,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
316,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
317,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
318,Degree,sponges_networks,Degree networks,,,Difference,812,,10.0
319,Degree,sponges_networks,Degree networks,,,Intersection 0.2,138,2.0,10.0
320,Degree,sponges_networks,Degree networks,,,Intersection 0.3,12,3.0,10.0
321,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
322,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
323,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
324,Random,sponges_networks,Random networks,,,Difference,816,,10.0
325,Random,sponges_networks,Random networks,,,Intersection 0.2,137,2.0,10.0
326,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
327,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
328,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
329,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
330,Degree,sponges_networks,Degree networks,,,Difference,823,,10.0
331,Degree,sponges_networks,Degree networks,,,Intersection 0.2,130,2.0,10.0
332,Degree,sponges_networks,Degree networks,,,Intersection 0.3,17,3.0,10.0
333,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
334,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
335,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
336,Random,sponges_networks,Random networks,,,Difference,840,,10.0
337,Random,sponges_networks,Random networks,,,Intersection 0.2,123,2.0,10.0
338,Random,sponges_networks,Random networks,,,Intersection 0.3,14,3.0,10.0
339,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
340,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
341,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
342,Degree,sponges_networks,Degree networks,,,Difference,800,,10.0
343,Degree,sponges_networks,Degree networks,,,Intersection 0.2,138,2.0,10.0
344,Degree,sponges_networks,Degree networks,,,Intersection 0.3,23,3.0,10.0
345,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
346,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
347,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
348,Random,sponges_networks,Random networks,,,Difference,881,,10.0
349,Random,sponges_networks,Random networks,,,Intersection 0.2,101,2.0,10.0
350,Random,sponges_networks,Random networks,,,Intersection 0.3,15,3.0,10.0
351,Random,sponges_networks,Random networks,,,Intersection 0.5,1,5.0,10.0
352,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
353,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
354,Degree,sponges_networks,Degree networks,,,Difference,799,,10.0
355,Degree,sponges_networks,Degree networks,,,Intersection 0.2,143,2.0,10.0
356,Degree,sponges_networks,Degree networks,,,Intersection 0.3,16,3.0,10.0
357,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
358,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
359,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
360,Random,sponges_networks,Random networks,,,Difference,876,,10.0
361,Random,sponges_networks,Random networks,,,Intersection 0.2,107,2.0,10.0
362,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
363,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
364,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
365,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
366,Degree,sponges_networks,Degree networks,,,Difference,823,,10.0
367,Degree,sponges_networks,Degree networks,,,Intersection 0.2,134,2.0,10.0
368,Degree,sponges_networks,Degree networks,,,Intersection 0.3,10,3.0,10.0
369,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
370,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
371,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
